paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,text_for_embedding,age_days
10.1007/978-3-031-72371-1_11,Brain Organoids and the Law,Academic research publication titled 'Brain Organoids and the Law'.,['Adithi Iyer'],['Computer Science'],Computer Science,2024-11-20,2024-11-20,https://doi.org/10.1007/978-3-031-72371-1_11,,book-chapter,Adithi Iyer,Computer Science,67,"Title: Brain Organoids and the Law
Authors: Adithi Iyer
Categories: Computer Science
Published: 2024-11-20
Summary: Academic research publication titled 'Brain Organoids and the Law'.",624
10.1007/978-3-031-32152-8_30,Elites,Academic research publication titled 'Elites'.,['Alejandro Pelfini'],['Computer Science'],Computer Science,2024-11-20,2024-11-20,https://doi.org/10.1007/978-3-031-32152-8_30,,book-chapter,Alejandro Pelfini,Computer Science,46,"Title: Elites
Authors: Alejandro Pelfini
Categories: Computer Science
Published: 2024-11-20
Summary: Academic research publication titled 'Elites'.",624
10.1007/978-3-031-23161-2_300726,Loot Crates,Academic research publication titled 'Loot Crates'.,['Unknown Author'],['Computer Science'],Computer Science,2024-01-05,2024-01-05,https://doi.org/10.1007/978-3-031-23161-2_300726,,book-chapter,Unknown Author,Computer Science,51,"Title: Loot Crates
Authors: Unknown Author
Categories: Computer Science
Published: 2024-01-05
Summary: Academic research publication titled 'Loot Crates'.",944
10.1007/978-3-031-28170-9_6,The Fiscal Treatment of Family Size: A Further Look,Academic research publication titled 'The Fiscal Treatment of Family Size: A Further Look'.,['Alessandro Balestrino'],['Computer Science'],Computer Science,2023-04-27,2023-04-27,https://doi.org/10.1007/978-3-031-28170-9_6,,book-chapter,Alessandro Balestrino,Computer Science,91,"Title: The Fiscal Treatment of Family Size: A Further Look
Authors: Alessandro Balestrino
Categories: Computer Science
Published: 2023-04-27
Summary: Academic research publication titled 'The Fiscal Treatment of Family Size: A Further Look'.",1197
10.1007/978-3-476-05869-0_72,Interkulturelles Zusammenleben,Academic research publication titled 'Interkulturelles Zusammenleben'.,['Valentin Beck'],['Computer Science'],Computer Science,2023-04-27,2023-04-27,https://doi.org/10.1007/978-3-476-05869-0_72,,book-chapter,Valentin Beck,Computer Science,70,"Title: Interkulturelles Zusammenleben
Authors: Valentin Beck
Categories: Computer Science
Published: 2023-04-27
Summary: Academic research publication titled 'Interkulturelles Zusammenleben'.",1197
10.34157/978-3-648-16750-2_3,Gesetzliche Regelungen für Auszeiten,Academic research publication titled 'Gesetzliche Regelungen für Auszeiten'.,['Britta Redmann'],['Computer Science'],Computer Science,2023-01-01,2023-01-01,https://doi.org/10.34157/978-3-648-16750-2_3,,book-chapter,Britta Redmann,Computer Science,76,"Title: Gesetzliche Regelungen für Auszeiten
Authors: Britta Redmann
Categories: Computer Science
Published: 2023-01-01
Summary: Academic research publication titled 'Gesetzliche Regelungen für Auszeiten'.",1313
10.1007/978-981-16-8679-5_306,Teaching Comparative Education in Cuba and the United States,Academic research publication titled 'Teaching Comparative Education in Cuba and the United States'.,"['Mark Ginsburg', 'Rosa Maria Massón Cruz', 'Emigdio Rodríguez Alfonso', 'Yuitana García Isaac']",['Computer Science'],Computer Science,2022-08-27,2022-08-27,https://doi.org/10.1007/978-981-16-8679-5_306,,book-chapter,"Mark Ginsburg, Rosa Maria Massón Cruz, Emigdio Rodríguez Alfonso, Yuitana García Isaac",Computer Science,100,"Title: Teaching Comparative Education in Cuba and the United States
Authors: Mark Ginsburg, Rosa Maria Massón Cruz, Emigdio Rodríguez Alfonso, Yuitana García Isaac
Categories: Computer Science
Published: 2022-08-27
Summary: Academic research publication titled 'Teaching Comparative Education in Cuba and the United States'.",1440
10.1007/978-1-4842-7310-4_15,Extensions,Academic research publication titled 'Extensions'.,"['Bauke Scholtz', 'Arjan Tijms']",['Computer Science'],Computer Science,2022-03-16,2022-03-16,https://doi.org/10.1007/978-1-4842-7310-4_15,,book-chapter,"Bauke Scholtz, Arjan Tijms",Computer Science,50,"Title: Extensions
Authors: Bauke Scholtz, Arjan Tijms
Categories: Computer Science
Published: 2022-03-16
Summary: Academic research publication titled 'Extensions'.",1604
10.1016/b978-0-08-102696-0.00020-8,"Sensor data analysis, reduction, and fusion for assessing and monitoring civil infrastructures","Academic research publication titled 'Sensor data analysis, reduction, and fusion for assessing and monitoring civil infrastructures'.",['D. Zonta'],['Computer Science'],Computer Science,2022-01-01,2022-01-01,https://doi.org/10.1016/b978-0-08-102696-0.00020-8,,book-chapter,D. Zonta,Computer Science,134,"Title: Sensor data analysis, reduction, and fusion for assessing and monitoring civil infrastructures
Authors: D. Zonta
Categories: Computer Science
Published: 2022-01-01
Summary: Academic research publication titled 'Sensor data analysis, reduction, and fusion for assessing and monitoring civil infrastructures'.",1678
10.1007/978-3-030-58292-0_20395,"Bingham, Hiram (1875–1956)","Academic research publication titled 'Bingham, Hiram (1875–1956)'.",['Unknown Author'],['Computer Science'],Computer Science,2021-05-01,2021-05-01,https://doi.org/10.1007/978-3-030-58292-0_20395,,book-chapter,Unknown Author,Computer Science,66,"Title: Bingham, Hiram (1875–1956)
Authors: Unknown Author
Categories: Computer Science
Published: 2021-05-01
Summary: Academic research publication titled 'Bingham, Hiram (1875–1956)'.",1923
